Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink,Package,Purchasing Link
24,"Quad CMOS Rail-to-Rail Input and Output Operational Amplifier, DIP-14/SOIC-14",LMC6484,U1,LMC6484,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,http://www.ti.com/lit/ds/symlink/lmc6484.pdf,,,,,
25,,SN74LV4052APWR-formula,U7 U8,SN74LV4052APWR,TSSOP-16_4.4x5mm_Pitch0.65mm,2,www.ti.com/lit/ds/symlink/sn74lv4052a.pdf,,,,,https://www.digikey.com/product-detail/en/texas-instruments/SN74LV4052APWR/296-3831-1-ND/390425
26,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_7M_17.pdf,887-1125-1-ND,DK,https://www.digikey.com/product-detail/en/txc-corporation/7M-16.000MAAJ-T/887-1125-1-ND/2119014,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,26,,,,,,,,,,,
Component Count:,57,,,,,,,,,,,
Fitted Components:,57,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,57,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
BoM Date:,Wed 21 Nov 2018 11:47:25 PM EST,,,,,,,,,,,
Schematic Source:,/home/utsav22g/Olin Stuff/CrabBots/circuit/circuit.sch,,,,,,,,,,,
KiCad Version:,Eeschema 5.0.1-33cea8e~68~ubuntu18.04.1,,,,,,,,,,,
